Pathway Name,Reaction,Global Score,Rule ID,Reaction Rule,Rule Score,dfG_prime_o,dfG_prime_m,dfG_uncert,Normalised dfG_prime_o,Normalised dfG_prime_m,Normalised dfG_uncert,FBA,FBA Flux,FBA Normalised Flux,UniProt,Selenzyme Score
A,pathway,,,,,-4809.5223187344445,761.5356661793097,30.813551640637233,,,,fba_obj_biomass;fba_obj_fraction,1.631769019831705;3.2026363404206744,,,
A,RP1,,RR-02-4ada92c256548b00-16-F,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H].N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+].[H+]>>[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H]O[H].N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,0.28908512617193666,-4916.797048389184,-4951.026723458626,25.444364563430124,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404206744,,,
A,RP2,,RR-02-bc6dc41eff9c5453-16-F,[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].O=P(O)(O)O>>[H]OC([H])(C([H])=O)C([H])(O[H])C([H])(O[H])C([H])([H])OP(=O)(O[H])O[H].[H]O[H],0.2697797707125414,-722.7202866634543,-739.8351241981753,3.5510626595664485,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404206744,,,
A,RP3,,RR-02-9b440f7c44620bbe-16-F,[H]OC([H])(C([H])=O)C([H])(O[H])C([H])(O[H])C([H])([H])OP(=O)(O[H])O[H].Oc1ncnc2[nH]cnc12>>[H]O[H].[H]Oc1nc([H])nc2c1nc([H])n2C1([H])OC([H])(C([H])([H])OP(=O)(O[H])O[H])C([H])(O[H])C1([H])O[H],0.3810856233878936,829.9950163181938,812.8801787834728,9.331851105309307,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404206744,,,
E,pathway,,,,,-4158.113577210029,398.0940041338732,52.80381453646129,,,,fba_obj_biomass;fba_obj_fraction,1.6317690198317092;3.2026363404206446,,,
E,RP1,,RR-02-4ada92c256548b00-16-F,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H].N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+].[H+]>>[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H]O[H].N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,0.28908512617193666,-4916.797048389184,-4951.026723458626,25.444364563430124,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404206446,,,
E,RP2,,RR-02-87c97c0ed0a0f498-16-F,[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H+].O=C(O)c1cccnc1>>[H]OC(=O)c1c([H])c([H])c([H])[n+](C2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])c1[H].[H]O[H],0.5982208769718989,275.0152793716775,240.7856043022354,12.596854753190241,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404206446,,,
E,RP3,,RR-02-fa8078b1056228c1-16-F,[H]OC(=O)c1c([H])c([H])c([H])[n+](C2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])c1[H].N>>[H]N=C(O[H])c1c([H])c([H])c([H])[n+](C2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])c1[H].[H]O[H],0.7023718970192103,483.66819180747837,466.55335427275736,18.17845326435866,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404206446,,,
C,pathway,,,,,-4912.632442474278,-4067.4504385723267,26.649436537038937,,,,fba_obj_biomass;fba_obj_fraction,1.6317690198316799;0.0,,,
C,RP1,,RR-02-528056fe6763ce51-16-F,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H].[H+]>>[H]OC1([H])C(=O)OC([H])([H])C([H])(O[H])C1([H])O[H].[H]O[H],0.4567026061160297,-879.4116789713933,-896.5265165061143,4.652079553850464,,,,fba_obj_biomass;fba_obj_fraction,0.0;0.0,,,
C,RP2,,RR-02-c408db766f5ca26a-16-F,[H]OC1([H])C(=O)OC([H])([H])C([H])(O[H])C1([H])O[H].N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+]>>[H]OC([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])=O.N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,0.4384719789663001,-4033.2207635028844,-4050.3356010376056,26.17753235260544,,,,fba_obj_biomass;fba_obj_fraction,0.0;0.0,,,
B,pathway,,,,,-4915.109731768207,-32.54235844846505,25.969483383588887,,,,fba_obj_biomass;fba_obj_fraction,1.6317690198317087;0.0,,,
B,RP1,,RR-02-4ada92c256548b00-16-F,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H].N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+].[H+]>>[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H]O[H].N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,0.28908512617193666,-4916.797048389184,-4951.026723458626,25.444364563430124,,,,fba_obj_biomass;fba_obj_fraction,0.0;0.0,,,
B,RP2,,RR-02-c590294a6b891b0f-16-F,[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H]>>[H]OC([H])([H])C(=O)C([H])(O[H])C([H])(O[H])C([H])([H])O[H],0.4412229826743595,1.6873166209770147,1.6873166209770147,3.865120970043172,,,,fba_obj_biomass;fba_obj_fraction,0.0;0.0,,,
D,pathway,,,,,-4213.1283870220095,652.3241487630122,33.2451086789575,,,,fba_obj_biomass;fba_obj_fraction,1.6317690198317087;3.2026363404206624,,,
D,RP1,,RR-02-4ada92c256548b00-16-F,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H].N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+].[H+]>>[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H]O[H].N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,0.28908512617193666,-4916.797048389184,-4951.026723458626,25.444364563430124,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404206624,,,
