Pathway Name,Reaction,Global Score,Rule ID,Reaction Rule,Rule Score,dfG_prime_o,dfG_prime_m,dfG_uncert,Normalised dfG_prime_o,Normalised dfG_prime_m,Normalised dfG_uncert,FBA,FBA Flux,FBA Normalised Flux,UniProt,Selenzyme Score
C,pathway,,,,,2129.2937665811214,902.0598606396786,192000.0024683842,,,,fba_obj_biomass;fba_obj_fraction,0.8769972144269713;1.6833130777472518,,,
C,RP1,,RR-02-baab6102a37464e6-16-F,[H]C1=[N+](C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H].N.OO>>[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])[H].O=O,0.414817422115314,1193.0042308720008,1175.8893933372797,15.640686380381503,,,,fba_obj_biomass;fba_obj_fraction,0.0;1.6833130777472518,,,
C,RP2,,RR-02-e0f766c384b7a596-16-F,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])[H].[H+].Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O>>[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])[S+](C([H])([H])[H])C([H])([H])C1([H])OC([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)C([H])(O[H])C1([H])O[H],1.0,936.2895357091206,919.1746981743996,192000.0010977077,,,,fba_obj_biomass;fba_obj_fraction,0.0;1.6833130777472518,,,
