Pathway Name,Reaction,Global Score,Rule ID,Reaction Rule,Rule Score,dfG_prime_o,dfG_prime_m,dfG_uncert,Normalised dfG_prime_o,Normalised dfG_prime_m,Normalised dfG_uncert,FBA,FBA Flux,FBA Normalised Flux,UniProt,Selenzyme Score
A,pathway,,,,,-4918.687004833217,-36.11963151347493,25.9459511159889,,,,fba_obj_biomass;fba_obj_fraction,1.6317690198317087;3.2026363404206637,,,
A,RP1,,RR-02-4ada92c256548b00-16-F,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H].N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+].[H+]>>[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H]O[H].N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,0.28908512617193666,-4916.797048389184,-4951.026723458626,25.444364563430124,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404206637,,,
A,RP2,,RR-02-77d9da967a26f304-16-F,[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H]>>[H]OC1([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C1([H])O[H],0.2697797707125414,-1.8899564440328618,-1.8899564440328618,4.137555571629531,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404206637,,,
E,pathway,,,,,-3297.4064609981683,849.077662650972,192000.00726456044,,,,fba_obj_biomass;fba_obj_fraction,1.6317690198317014;0.0,,,
E,RP1,,RR-02-4ada92c256548b00-16-F,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H].N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+].[H+]>>[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H]O[H].N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,0.28908512617193666,-4916.797048389184,-4951.026723458626,25.444364563430124,,,,fba_obj_biomass;fba_obj_fraction,0.0;0.0,,,
E,RP2,,RR-02-44e1cf56615b2046-16-F,[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H+].Cn1cnc2nc(O)nc(O)c21>>[H]O[H].[H]Oc1nc(O[H])c2c(n1)n(C1([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C1([H])O[H])c([H])[n+]2C([H])([H])[H],0.3810856233878936,701.8535746011593,667.6238995317171,14.782285256136209,,,,fba_obj_biomass;fba_obj_fraction,0.0;0.0,,,
E,RP3,,RR-02-5e3ff8fc252ce984-16-F,[H]Oc1nc(O[H])c2c(n1)n(C1([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C1([H])O[H])c([H])[n+]2C([H])([H])[H].Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O>>[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])[S+](C([H])([H])[H])C([H])([H])C1([H])OC([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)C([H])(O[H])C1([H])O[H].[H]Oc1nc(O[H])c2nc([H])n(C3([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C3([H])O[H])c2n1,1.0,917.5370127898561,917.5370127898561,192000.00137550122,,,,fba_obj_biomass;fba_obj_fraction,0.0;0.0,,,
C,pathway,,,,,-5260.86250098478,-361.18029013031685,26.470936076154626,,,,fba_obj_biomass;fba_obj_fraction,1.63176901983171;0.0,,,
C,RP1,,RR-02-4ada92c256548b00-16-F,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H].N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+].[H+]>>[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H]O[H].N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,0.28908512617193666,-4916.797048389184,-4951.026723458626,25.444364563430124,,,,fba_obj_biomass;fba_obj_fraction,0.0;0.0,,,
C,RP2,,RR-02-6d5f3b20d10bf12a-16-F,[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H]>>[H]OC([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])=O,0.2697797707125414,-344.0654525955958,-326.9506150608747,5.883625318938767,,,,fba_obj_biomass;fba_obj_fraction,0.0;0.0,,,
B,pathway,,,,,-8307.710405177926,-2736.652420264171,36.21739905568701,,,,fba_obj_biomass;fba_obj_fraction,1.631769019831691;3.2026363404207876,,,
B,RP1,,RR-02-4ada92c256548b00-16-F,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H].N=C(O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+].[H+]>>[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C1([H])O[H].[H]O[H].N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,0.28908512617193666,-4916.797048389184,-4951.026723458626,25.444364563430124,,,,fba_obj_biomass;fba_obj_fraction,0.0;3.2026363404207876,,,
